taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,VIC,3951,628,614,26941752,476,4935532,427,5047285,10,37945,393,18551651,374,4046720,49,282574,26,238205,3,51054,5,219820,619,28437724,16,23812,164,38657,412,1142481,66,502294,86,1261014,52,380483,34,-190925,329,106886,273,254,182474
2017/2018,VIC,3953,4684,4613,221027577,3731,41771995,3300,43069517,115,477123,3127,158418401,3018,35855754,312,1943746,325,4036271,48,591651,38,792090,4649,233623542,134,268581,1654,1289956,3388,11757860,399,3011762,594,7975152,327,2132907,275,-1582491,2356,763857,2106,1890,1361481
2017/2018,VIC,3954,255,254,12730446,203,2603082,176,2703518,9,43168,165,8006224,155,1811652,17,115374,13,157785,1,3316,1,17511,254,13439532,9,12345,88,27835,177,662612,32,289848,38,441987,22,88714,18,-103410,134,45423,133,107,75861
2017/2018,VIC,3956,1463,1438,64521761,1099,12015893,966,12293426,50,206349,857,39902429,813,9122381,125,774776,98,1145834,17,139880,22,800234,1453,68524821,33,50909,424,139773,946,3338234,86,561146,242,2881966,143,839674,99,-502054,753,239839,679,604,426031
2017/2018,VIC,3957,194,190,7493132,149,1302423,129,1325010,1,2421,113,5555819,110,1260980,10,53255,11,140865,2,18887,4,148099,194,8206430,1,310,69,29702,134,437655,11,77243,19,216701,12,88100,7,-21371,106,37450,83,69,47634
2017/2018,VIC,3958,173,168,7052598,132,1247754,113,1240234,4,28866,104,4359541,99,956419,17,120656,8,92832,1,60955,0,0,172,7570269,4,6674,43,9300,112,375246,14,65623,19,330086,12,112254,7,-67250,86,28005,66,61,45534
2017/2018,VIC,3959,736,720,31384513,533,5819086,470,5955326,22,95215,431,18988389,416,4258881,50,372812,42,417530,1,34151,5,126877,731,33311295,11,11589,231,88821,473,1654753,51,442105,124,1703495,65,631400,59,-267451,344,111531,364,338,258525
2017/2018,VIC,3960,1465,1450,64029672,1108,11780262,938,11987573,34,123456,893,42699123,839,9599498,96,660317,138,1712835,15,232985,27,682571,1459,68701305,35,78567,604,257851,1049,4092746,128,1072080,210,3174665,121,1062280,90,-450658,716,230843,650,590,438955
2017/2018,VIC,3962,512,502,21346939,377,4343874,328,4413551,12,39292,346,17226809,333,4003419,38,243401,41,454483,0,0,6,200565,508,22512640,15,27465,177,29983,349,935760,38,261572,53,700853,27,233426,26,-114547,265,89625,180,157,111000
2017/2018,VIC,3964,81,78,3220353,63,521338,59,541741,2,5874,55,2451375,52,501496,11,54438,2,9024,0,0,0,0,80,3433440,1,6850,34,5008,62,185645,5,27259,6,53448,2,5838,6,-35632,52,17530,30,24,13187
2017/2018,VIC,3965,94,93,3675883,72,587656,65,597335,0,0,62,2800607,62,597150,6,39703,13,143326,0,0,1,41401,93,3839883,3,6889,24,3081,63,164000,6,42187,7,100686,3,30823,5,-18415,53,17181,31,31,22082
2017/2018,VIC,3966,296,289,11901303,217,2175572,190,2197484,4,14669,189,8453443,175,1869229,26,189033,13,132361,0,0,1,38614,292,12695364,4,15439,72,10742,176,496353,14,114437,33,335684,18,77232,16,-62678,148,50881,93,75,57116
2017/2018,VIC,3967,77,75,3255755,57,615664,52,621408,0,0,39,1911052,37,420840,6,36256,6,97679,1,6730,0,0,77,3604746,3,3227,12,5844,44,308116,4,67000,12,326823,7,149119,5,-10122,39,12751,29,27,25283
2017/2018,VIC,3971,2123,2078,89422802,1592,16286749,1406,16692047,27,94623,1465,70305675,1411,16030226,193,1391469,161,1927974,17,208682,23,607178,2106,94975988,58,112857,515,174039,1492,4496297,173,1387142,314,4432519,159,1092199,159,-1211381,1090,357048,733,649,469391
2017/2018,VIC,3975,9228,9131,489786724,7796,94489922,7370,100955666,337,1334472,7854,449156954,7650,105445013,468,2715108,193,2225664,30,395083,29,766948,9137,510341364,379,644841,3258,1165932,7212,20316080,670,3152420,1645,22462413,269,1338043,1423,-11194265,4963,1501735,3553,3185,1634942
2017/2018,VIC,3976,13386,13226,602650334,11125,100974301,10383,107124367,411,1550842,11349,547518269,11063,117114701,1302,7552680,424,4956368,64,537566,41,1019185,13233,627629177,417,690859,4697,1709053,10135,24872998,795,4175501,1257,16421932,274,1375495,1001,-6829187,8316,2556287,3209,2839,1460729
2017/2018,VIC,3977,58372,57820,3008407302,49552,568212707,46532,603946388,1938,7300123,49606,2701234912,48534,618561055,4106,23955944,1987,23504081,273,2956294,256,6941255,57848,3146251234,2211,4122739,20179,5663192,46148,136543670,4036,21941762,6113,88780871,1415,8968815,4867,-35382241,33201,10041875,21081,18659,10581225
2017/2018,VIC,3978,12690,12569,693634844,10916,135496753,10413,145140605,608,2324953,11035,637640892,10816,148660456,610,3318276,329,3797644,40,412986,40,1150574,12577,725311175,638,1218249,4517,1268206,10234,31356562,762,3502838,1322,16674545,220,1576116,1143,-7123567,6873,2033871,5090,4519,2361102
2017/2018,VIC,3979,223,220,9662599,170,1743863,149,1781598,5,31403,147,6933548,139,1570861,10,70158,12,120285,3,79962,2,85452,222,10392258,4,14228,66,21160,157,683503,28,242214,34,358235,19,96035,15,-37607,121,39014,109,106,78875
2017/2018,VIC,3980,2015,2000,110990086,1718,21986347,1615,23433671,54,198315,1615,90778538,1587,21364003,99,541069,87,1031833,15,108053,12,286680,2005,116617069,72,102791,706,238612,1584,5499610,174,1355851,267,3914731,100,859804,169,-1065651,1073,328884,820,720,470537
2017/2018,VIC,3981,2834,2803,146616923,2383,28598359,2228,30062919,84,299523,2213,116826926,2139,26587031,141,801646,125,1493339,10,171115,15,299478,2813,153916253,93,126341,895,306076,2171,7027549,215,1192022,335,5003855,162,1241343,182,-1223079,1542,478130,1198,1067,703073
2017/2018,VIC,3984,3060,3024,140971127,2447,25771673,2207,26964156,58,200682,2259,111946049,2188,24745497,264,1788091,237,2912270,19,218229,23,725917,3034,148073484,71,147280,997,217374,2275,6676249,214,1286761,309,5022966,157,1439032,156,-1038770,1659,533505,1096,980,654704
2017/2018,VIC,3987,894,879,48077488,746,9801803,676,10451508,20,64978,677,36925004,655,8389842,45,263261,37,517563,5,84662,0,0,886,50238760,27,28923,290,67913,660,2061474,79,422808,108,1183877,42,225229,67,-412497,477,139588,363,337,213334
2017/2018,VIC,3988,653,639,29434477,521,5545794,458,5668471,14,61337,428,22218887,410,5144653,39,207211,37,453316,7,22669,5,90766,646,31021128,13,39455,177,39200,440,1423585,55,450614,63,692752,36,184851,28,-168020,329,106938,305,277,189794
2017/2018,VIC,3990,111,109,4987032,87,916137,74,951681,1,2919,70,3500929,63,839062,3,27227,4,56123,2,41889,1,4481,111,5316449,2,3437,34,5945,76,273328,4,20891,22,352687,17,164715,5,-30934,58,18531,64,54,38164
2017/2018,VIC,3991,233,230,8681481,172,1328342,149,1357635,4,11025,158,6811306,154,1382063,21,132668,24,282900,1,2349,1,56288,232,9131348,2,4072,64,8345,148,361751,10,56384,28,291654,10,54062,20,-116521,127,41505,77,64,43334
2017/2018,VIC,3992,514,514,23766246,422,4336333,373,4456243,12,45504,390,18873767,377,4302434,60,463345,21,290010,1,9523,3,53344,513,24971974,23,64959,180,49792,385,1182815,26,162836,55,702976,20,79576,35,-199427,286,93381,163,147,84991
2017/2018,VIC,3995,5406,5334,228644019,4141,39573076,3673,41038452,137,488402,3826,169476017,3685,36057381,614,4066020,392,4656414,50,658019,62,1764164,5356,241505929,170,331984,2061,552357,3861,11260601,406,2858753,598,7494221,327,2027656,273,-1286683,2982,979852,1733,1543,1046457
2017/2018,VIC,3996,3286,3247,164139183,2447,33844948,2138,35108684,111,439062,2059,110812890,1964,27316401,187,1325825,252,2659554,38,749533,62,1812737,3265,173849380,76,147984,1255,880238,2289,9225911,337,2922715,511,7712157,295,2036877,217,-1463677,1475,471172,1765,1594,1180548
2017/2018,VIC,8007,51,50,4771423,38,1341563,36,1392258,1,8659,28,3769169,27,1234191,0,0,2,21064,0,0,0,0,50,5095155,2,12141,13,41042,37,323732,3,20756,19,1175912,8,127729,11,-147299,10,3503,41,35,23292
2017/2018,VIC,,2354,2325,144063447,1938,33329485,1760,34682504,93,366701,1755,109674305,1699,28473099,142,923752,115,1421729,20,291532,27,827751,2340,151333897,72,132951,753,424209,1786,6577042,203,1661227,415,8219812,166,1367713,250,-2528477,1121,345090,1183,1056,714437
2017/2018,WA,6000,8711,8589,617658902,7276,156987513,6893,163616615,555,2826243,7188,527792771,7005,153156293,432,3019763,194,2631667,34,397510,72,2130582,8599,638037049,468,1393836,1895,1321428,6014,19738512,707,6138544,1147,26212585,344,3279859,820,-10291121,3303,1031107,4871,3920,1931798
2017/2018,WA,6001,52,52,3110910,43,744714,39,757015,2,7024,36,2593855,34,728661,5,48433,0,0,0,0,1,131833,50,3213320,2,1630,15,6169,43,102063,7,133357,6,152340,3,41839,3,-20467,21,6129,33,29,17765
2017/2018,WA,6003,2928,2886,186749872,2480,43356861,2375,45727288,199,973207,2499,159416687,2442,42608562,199,1364103,41,449826,11,214179,14,660136,2885,193571771,140,405772,694,279839,2170,6590613,283,2635930,381,8196132,120,1321840,271,-3546754,1333,421259,1693,1371,667402
2017/2018,WA,6004,7535,7398,554848401,6171,143346090,5880,149180076,389,2077207,6174,470900872,6016,136639543,297,2189200,118,1280901,34,522744,48,1832819,7404,576807357,404,1389740,1799,1233155,5370,21439041,788,7472610,1159,29981592,354,3960919,822,-11344366,2909,904451,4570,3643,1975771
2017/2018,WA,6005,4173,4121,327126123,3594,86400307,3430,90205816,303,1610322,3505,272285061,3428,79046018,228,1570162,80,1062290,13,205430,28,1381805,4132,343728359,259,934338,1091,1498966,2984,16072648,427,3300994,613,16376559,205,2861338,417,-5922696,1666,507681,2633,2117,1130291
2017/2018,WA,6006,5943,5887,459493411,5072,116605897,4798,122268436,435,2096261,4726,365357798,4592,104764129,331,2137116,141,1639155,30,371799,71,2294378,5890,476438451,245,651168,1905,1033201,4590,16480362,787,7175430,1142,22953045,369,3629691,790,-8906842,2387,743668,4677,3828,2204668
2017/2018,WA,6007,5166,5119,461070251,4424,126477650,4222,132627673,460,2399973,4153,350129010,4051,104318033,296,1833067,120,1423098,28,370600,55,1762106,5128,480037118,280,1028560,1736,2244898,4001,18580120,701,8105996,995,21870435,351,3437793,656,-8426520,1874,566408,4079,3214,1829908
2017/2018,WA,6008,9933,9829,951636536,8255,274235518,7752,285725737,665,3568719,7289,656125432,7013,202271108,461,2993069,272,3183910,56,1228316,159,6934887,9855,992891846,493,1702701,3342,4425749,7432,40164228,1374,20390374,1945,45952116,811,8634681,1166,-15441705,3392,1044637,8233,6465,4335655
2017/2018,WA,6009,11342,11162,1521710500,8969,511092346,8314,531526264,461,2599465,7304,740106533,6829,243663853,521,3482561,272,3330127,58,988541,205,10634344,11189,1588400831,332,1328994,3392,6848636,7877,63959979,1532,30827575,2518,81349085,1231,19314830,1316,-23747911,3467,1099159,9604,7016,5504608
2017/2018,WA,6010,11345,11209,1334720317,9200,423885672,8517,439097348,510,2945106,7341,724405864,6970,235268540,373,2435497,448,4990526,77,1574355,284,14735658,11239,1392373921,410,1283449,3554,5851821,8279,54794237,1371,21290339,2177,59475706,897,12519264,1304,-19565949,3512,1105340,9871,7598,5826825
2017/2018,WA,6011,6486,6406,1083748598,5443,379533210,5156,392803836,351,1984367,4063,440379346,3832,149620465,180,1136924,155,1766654,38,928667,110,7451825,6428,1534117640,233,737985,2017,409464592,4782,447260878,821,13286933,1289,39136428,595,8460228,717,-14544824,1866,574634,5667,4231,3335962
2017/2018,WA,6012,5584,5513,755078534,4546,253954907,4234,263528953,256,1371980,3807,338015050,3623,106232742,225,1446597,183,2252304,29,763888,66,3875580,5530,789902939,203,598612,1581,7801056,4062,33016769,626,8182415,970,27298680,433,5478514,547,-8727805,1825,570987,4571,3484,2538442
2017/2018,WA,6014,13802,13674,1263455250,11246,359652005,10499,374352663,623,3059223,10185,878310867,9775,269082789,529,3434667,470,5550088,85,1436005,316,11467522,13694,1316873138,490,1383176,4688,6342693,10392,51211003,1874,26897418,2599,60401368,948,11260001,1683,-21351958,4959,1558618,11271,8757,6019993
2017/2018,WA,6015,4802,4753,625541878,3969,205305604,3669,209567425,153,771886,2832,295179957,2629,99004381,117,629110,162,1744402,31,649518,109,4494293,4773,655641051,92,293270,1462,2252528,3489,28273066,563,8909780,1049,31030900,483,7074586,584,-10268358,1504,485990,4295,3160,2562168
2017/2018,WA,6016,6552,6498,494690944,5466,124466858,5184,131156180,346,1671684,5488,410682438,5354,115576138,315,2082760,123,1543342,29,351950,64,2043249,6509,512543241,278,710542,2173,1198957,5090,17414758,837,8873019,1129,22177688,356,2989970,786,-8998946,2592,804308,4864,3978,2312728
2017/2018,WA,6017,3113,3073,176471425,2575,37414335,2414,39520361,180,785879,2612,148446451,2538,35791921,212,1367256,86,1120260,7,40456,21,473439,3069,183658990,165,391496,895,774054,2346,6912750,246,1733556,327,6497503,94,943687,239,-2631211,1572,471035,1794,1536,759895
2017/2018,WA,6018,25760,25490,1912980535,21251,479658928,19883,502288957,1293,6022568,19740,1517754691,19134,432127489,1074,6941011,1014,11702880,133,2273441,386,13155076,25532,1986449187,1156,2790374,8377,4069428,19606,70935662,3251,31956046,4924,100495832,1600,15825864,3397,-40490237,9847,3008927,21146,17621,10978091
2017/2018,WA,6019,15352,15209,1172085185,13032,295270256,12274,309300508,827,3927859,12169,949144375,11857,273813935,759,4730979,525,6321101,81,1336422,235,8361708,15244,1219165162,710,1753163,4880,2160594,12004,45047826,1872,17325885,2663,57132580,822,8077824,1878,-23094581,6020,1824075,11967,9909,5898967
2017/2018,WA,6020,14401,14246,1149810997,11563,307226136,10721,319563624,519,2434125,10048,780625280,9629,228486008,472,2737472,617,6609174,89,1429407,264,10307865,14296,1196642728,402,873459,4588,3038599,10658,44578040,2173,25633094,3300,68457617,1187,10906257,2156,-26189121,5265,1652854,12530,10253,7175060
2017/2018,WA,6021,12675,12537,797946163,10375,182577597,9594,191914278,460,2142169,9583,625067567,9281,163986786,656,4203897,523,6449300,50,665533,98,2872049,12554,829334979,430,1131564,3769,1573882,9471,30496773,1178,10790707,2535,50678206,990,10185525,1593,-18102609,5599,1722629,9717,8389,5268991
2017/2018,WA,6022,3132,3104,177562706,2539,37136190,2335,38902540,143,614816,2416,151259343,2360,38711532,164,988423,191,2094190,24,297194,66,1932064,3107,184153893,111,214778,1014,367347,2380,6316817,379,3524671,502,8644919,160,1227240,344,-3601495,1380,423066,2373,2098,1289744
2017/2018,WA,6023,9760,9688,675000425,7855,163079580,7295,170551730,330,1420469,7260,529199522,6994,147517591,368,2244113,484,5158259,55,652765,195,6697166,9699,700238314,297,535440,3176,1386975,7363,24562533,1402,14690440,1839,33803162,566,4724218,1294,-13869322,3697,1156228,8331,7017,4721295
2017/2018,WA,6024,8262,8197,476792358,6668,101520831,6147,106914057,279,1322528,6418,410997489,6251,106009456,460,2947849,522,6116068,44,501450,150,4490923,8198,494019514,304,551216,2654,1283926,6298,17016425,950,8761495,1248,19780399,355,2227168,911,-9037182,3581,1108697,6402,5668,3480323
2017/2018,WA,6025,19827,19635,1342978985,16403,320390032,15255,335212459,710,3040665,15281,1063481058,14817,290046986,950,6200846,900,10252978,127,1847811,319,10254876,19680,1394733721,609,1223484,5782,2387638,15103,50293570,2489,24206427,3529,66395664,997,7210466,2582,-30348905,8407,2595119,15991,13404,8126156
2017/2018,WA,6026,14318,14203,906305472,11684,205228310,10877,214950010,461,1943696,11183,758581923,10861,202870780,571,3513852,810,8879402,112,1447769,252,8364600,14218,937450926,416,747765,4396,1667357,10913,30715266,2126,21734617,2441,39520709,650,4223240,1828,-18648938,6042,1902483,12095,10258,6462597
2017/2018,WA,6027,26897,26626,1637859422,21958,363766962,20458,380815287,939,3912669,21334,1385888285,20783,365446250,1628,10931415,1146,13263422,170,2212775,332,10497648,26673,1698141457,900,1572444,7712,2850722,20310,58075327,3188,27243270,4503,77587854,1037,6654827,3542,-38732537,11998,3726129,20220,17168,9687375
2017/2018,WA,6028,15063,14888,1023392848,12471,242548611,11746,255148441,447,1848011,12254,874014377,11915,240024383,669,3793219,444,4890884,93,1018299,122,3492665,14914,1060356926,548,1055837,4417,1550927,11522,35820856,1950,14824010,2540,42786926,441,2925571,2123,-24433482,6358,2001830,12060,9903,5522259
2017/2018,WA,6029,2067,2052,187055436,1683,54409196,1587,57125721,82,395036,1430,115058564,1361,34338411,69,345642,67,703103,13,173576,38,1641081,2058,195040035,65,130142,614,431013,1513,7905640,297,3970560,473,9827103,218,2320526,259,-3594419,730,231240,1783,1417,989869
2017/2018,WA,6030,23432,23166,1387624316,19346,300696264,17985,315212121,626,2526325,18930,1197255030,18505,308125728,1824,12110442,1129,12627011,106,1236798,236,6688146,23197,1439178517,928,1653747,6648,2435750,17769,50241733,1957,11469905,2813,45966532,461,3047537,2425,-27563854,11190,3463789,16085,13605,6813458
2017/2018,WA,6031,10332,10242,608116917,8786,126994058,8286,134948904,363,1429076,8952,562609029,8766,141005631,636,3865557,335,3986959,27,216891,63,1577295,10241,630628247,491,922316,3021,942516,8213,22105903,804,4253683,1003,14155953,130,876510,908,-9353342,5051,1511595,7274,6362,2981131
2017/2018,WA,6032,177,176,11126417,152,2565385,144,2642488,5,40397,129,7203494,122,1824922,8,36340,2,36602,1,5100,1,31169,177,11570051,5,15326,51,46944,145,439220,21,218775,38,830561,18,322574,20,-223252,91,30646,122,107,59044
2017/2018,WA,6033,327,321,20960175,259,5311136,233,5337560,5,31244,192,10753207,176,2781544,18,156575,8,89992,1,15177,1,33768,322,21847899,10,64105,66,93319,211,882511,20,226213,93,1546333,36,185882,56,-520035,163,55519,233,197,128188
2017/2018,WA,6034,1547,1533,90626005,1371,18246897,1297,19438331,68,260178,1374,85144663,1355,20855882,95,589387,64,781940,5,49113,5,92100,1534,94288880,98,179642,471,156442,1270,3646962,105,315061,93,1005339,19,63077,75,-662537,778,233678,1056,913,383068
2017/2018,WA,6035,5450,5368,317320573,4474,67706155,4132,71507477,122,447652,4448,283736444,4352,73861824,406,2826921,273,3436131,24,277124,48,1263683,5373,329799062,231,412255,1565,499131,4217,12000172,417,2164070,562,7592146,106,683238,468,-4255432,2464,770913,3691,3230,1501172
2017/2018,WA,6036,9345,9242,553752314,7863,117411279,7324,124442392,227,918969,8042,515493745,7886,132567949,759,5190627,362,4366829,30,351842,43,1191679,9249,575023059,389,670167,2835,1051101,7347,20723319,708,3675786,878,12520655,101,498414,795,-8782545,4449,1375951,6330,5373,2426293
2017/2018,WA,6037,1866,1843,109181042,1498,23636485,1383,24586081,38,132605,1410,93235230,1378,24452456,143,1014712,94,1284403,21,303386,20,608212,1845,113301859,66,100624,511,177103,1381,4036961,150,1034630,234,3410211,67,637891,175,-1822422,818,258763,1255,1077,532175
2017/2018,WA,6038,4909,4852,297210303,4215,62653241,3982,66264879,218,880714,4320,280201267,4253,71356618,323,1872540,184,2296595,18,118667,20,451073,4855,308249131,256,449808,1413,431354,3927,10923985,330,1346577,382,4839240,36,131182,351,-3305559,2323,688869,3352,2989,1257133
2017/2018,WA,6041,787,780,40628056,584,8480088,508,8878920,8,22970,540,33193453,518,8631171,60,436465,73,793086,8,31813,7,145611,780,42033274,22,32045,193,45646,518,1294984,67,428001,130,1922535,36,239487,96,-793965,324,105240,511,455,266089
2017/2018,WA,6043,126,124,7848971,93,1893863,81,1956330,3,10179,72,4668502,69,1252379,4,26235,10,135669,0,0,1,21131,125,8151545,1,500,27,7394,88,295185,8,43490,25,401469,19,167964,8,-99042,44,12568,84,78,51652
2017/2018,WA,6044,791,780,41966933,632,9394109,572,9665543,5,26735,549,27452457,524,6737760,41,254695,45,602999,6,126798,5,132987,780,43436539,14,14057,123,29308,568,1431063,62,488168,121,2022012,52,398359,73,-702971,346,119063,441,388,260003
2017/2018,WA,6050,10141,10052,923079829,8403,261972745,7828,273234226,592,2950234,7463,589113349,7174,175033608,489,3377361,364,4140053,52,867334,233,8899515,10071,962530697,348,956778,3199,4248303,7543,38224074,1340,16957038,2144,52085775,857,11106505,1316,-17693187,3736,1151158,8207,6490,4269375
2017/2018,WA,6051,8303,8216,543081487,7079,124590333,6688,131160627,540,2501207,6978,472169892,6830,126403802,610,4090266,244,2863544,34,452412,64,2031919,8230,563161631,441,1187233,2480,1313155,6365,19629591,913,7345127,1251,24117946,350,2603902,910,-11059201,3704,1127438,5789,4881,2485571
2017/2018,WA,6052,7151,7101,499381360,6007,119391433,5648,125381487,406,1932149,5788,416894722,5617,114311900,401,2455415,264,3234700,45,550160,96,2831943,7106,516959894,259,613705,2218,1057502,5458,17067348,953,9068801,1306,21667924,363,2717332,960,-9821894,2898,893774,5644,4741,2811579
2017/2018,WA,6053,9263,9185,616835143,7803,141054269,7363,148790773,465,2228515,7654,538789793,7474,145122747,520,3113329,337,3940552,47,539080,132,3475721,9200,638432607,408,944576,2902,1256612,7129,20834477,1168,9999350,1609,26816196,440,2917924,1193,-12182248,3831,1166310,6909,5890,3220358
2017/2018,WA,6054,11651,11547,687433941,9697,146666302,9050,154601810,538,2259405,9657,598111202,9391,152559938,968,6520380,551,6729795,69,708751,135,4093316,11565,710868062,421,814566,3468,1450634,8960,22935502,1224,10076117,1618,26431642,467,3279377,1173,-11660210,5379,1621282,8235,7096,3840200
2017/2018,WA,6055,15581,15423,988008674,13290,218759251,12663,232372381,683,2961793,13259,870900951,13017,222865515,843,5244266,412,4709021,64,678353,96,2600831,15440,1023671347,691,1371215,4740,1710152,12423,34717616,1299,8005952,1911,30705838,456,4630528,1491,-14046568,7251,2140202,10875,9511,4792115
2017/2018,WA,6056,22880,22651,1312417634,18963,275802062,17592,291119331,629,2567170,18603,1135289987,18194,285734810,2032,13486494,1216,14679260,120,1293914,289,7992543,22669,1359780091,728,1215751,6193,3286716,17562,46269500,2183,16459912,3108,50512842,945,7634002,2219,-21494129,10824,3280893,15327,13267,7137981
2017/2018,WA,6057,10081,9992,612520970,8494,131906774,7995,139797400,267,1062261,8333,532548718,8151,135280299,592,3694885,477,5706792,47,458884,93,2946860,10000,633129561,314,486532,2977,952736,7841,20294603,974,6543675,1285,20337961,334,2919293,969,-9561022,4603,1382694,7406,6409,3631476
2017/2018,WA,6058,7469,7398,426526124,6292,87794326,5867,92851110,177,679447,6203,379891431,6090,93995134,561,3613729,409,4895373,38,338636,87,2484230,7411,441280534,258,479185,2256,1259040,5966,14478533,667,4320100,881,13081232,186,1189652,712,-6758941,3592,1079251,4997,4357,2250520
2017/2018,WA,6059,14384,14241,877613394,11478,200192595,10545,209356544,571,2657042,10557,656045400,10101,170597124,863,5527826,765,9254978,68,805230,252,7884961,14269,912967732,421,1077257,4183,2371570,10431,34373397,1555,15639162,2716,52529628,1020,9752852,1765,-18597177,6252,1974347,10751,9159,5941723
2017/2018,WA,6060,15304,15170,928561943,12866,201766502,12010,213106959,847,3984445,12457,790606934,12114,202725538,1014,6819662,598,7318300,64,979182,199,6019644,15186,964274408,703,1679068,4907,2391983,11865,35106014,1497,11585968,2153,41191160,670,6171857,1539,-16721574,7035,2152366,10726,9345,5288114
2017/2018,WA,6061,21461,21231,1011249156,17530,181298712,16208,191494240,801,3257526,18106,919948197,17609,208524806,2518,17359066,862,11275603,57,627365,111,2877966,21244,1050297768,1038,2338136,6101,2015217,16204,38505983,1254,7077747,1690,26606908,443,2678284,1289,-13501845,11969,3698814,10831,9479,4141026
2017/2018,WA,6062,20067,19858,1059886174,16121,214214737,14744,225304701,665,2854983,15424,884015162,14910,216394714,1407,9300946,1132,13787202,93,957054,274,7892992,19890,1099368157,670,1400575,5659,2080301,14947,38261821,1896,14463689,3302,58417505,1188,9742657,2175,-21257601,9642,2991962,13786,12197,7320047
2017/2018,WA,6063,7963,7878,398780685,6466,75553058,5992,79951986,211,835018,6584,359196591,6417,84394829,755,4900886,304,3737578,28,219568,50,1306007,7884,415027193,239,383132,2260,720896,5999,15222675,644,4239338,991,14228808,240,1358358,769,-7484014,4190,1275891,4861,4275,2065986
2017/2018,WA,6064,15864,15725,754301680,12940,136414347,11837,144196294,480,1913990,12899,667522101,12556,152962632,1777,11989652,779,9926786,65,705543,141,3783829,15738,780866458,477,928920,4622,1370768,11798,25893034,1133,7546138,1798,26164846,417,2488786,1413,-12174642,8749,2722662,9201,8047,3820811
2017/2018,WA,6065,39113,38706,2331549615,32670,499613050,30660,528170698,1226,5185717,32136,2057468465,31266,525667593,2140,13202357,1459,16328135,142,1748930,274,7465762,38752,2426695282,1454,2915835,11409,3880891,30278,92503380,3548,23186066,5781,90201301,1068,7990869,4842,-51319209,18199,5568929,28921,25117,13293555
2017/2018,WA,6066,10827,10708,559913289,8841,109452067,8211,115727165,287,1170340,8871,494885104,8636,118143959,939,6147079,403,4915494,62,742520,90,2309839,10731,579681698,340,639091,3186,944155,8224,19378404,995,7254621,1466,22555901,373,2317001,1126,-10692155,5611,1754490,7289,6281,3350338
2017/2018,WA,6067,66,66,4291579,59,976657,52,1033076,2,11953,53,3273945,51,850578,9,87506,1,8251,0,0,1,43763,66,4443807,2,748,18,3549,52,143133,4,23349,10,192415,5,31309,5,-93241,34,9486,38,26,12510
2017/2018,WA,6069,24191,23937,1497488632,20596,324273460,19418,343484708,678,2768182,20900,1374965883,20473,352259658,1389,8638972,940,11040862,106,1107368,175,4914839,23960,1549961061,974,1702320,7197,2355388,19435,51371906,2031,10572084,2804,41745058,428,2834649,2430,-24961485,11177,3326606,17086,14895,7641217
2017/2018,WA,6070,2292,2269,169621804,1852,42877324,1723,44346376,87,379417,1701,128265530,1628,36885808,80,429944,122,1382808,11,192388,39,1308863,2273,177195036,59,115869,733,1202518,1716,7400114,361,3692647,434,7885439,140,1304516,305,-3259309,855,264703,1882,1576,1018924
2017/2018,WA,6071,2227,2205,146565421,1766,34937280,1620,36589857,62,286183,1659,113238762,1603,30710786,88,549743,97,1160032,17,165408,41,1365998,2212,152074216,66,74868,630,591294,1653,5302123,290,2672357,442,6781824,137,1010904,313,-3044615,875,283178,1872,1557,962308
2017/2018,WA,6072,562,555,34580225,431,8086011,376,8483997,9,24416,403,26826987,383,7165588,26,187555,37,489264,3,37387,8,255165,554,35727789,12,22145,142,51953,414,1147564,77,674596,109,1933231,31,287308,84,-811750,220,69902,462,385,229983
2017/2018,WA,6073,1983,1963,119532255,1549,26987513,1409,28357360,49,203037,1415,95346180,1377,25381025,86,476643,138,1571019,10,126200,38,1148669,1970,123726573,47,69100,555,339250,1453,4046130,240,2373700,366,6071034,117,849733,259,-2362483,797,251997,1549,1346,888758
