taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,NSW,1585,65,65,5402774,54,1429103,49,1503736,3,7728,40,4153228,40,1309801,3,10546,2,33961,0,0,2,67058,65,5674503,0,0,13,2817,40,240592,6,78426,18,479918,8,74853,10,-99514,17,4969,47,37,23684
2017/2018,NSW,1595,53,53,3705783,41,988593,38,1046256,1,3559,35,2776691,33,817273,0,0,1,21818,1,8518,0,0,53,3868403,1,1000,20,16222,42,145253,10,97419,24,616581,16,205031,9,-94605,14,4036,37,34,27982
2017/2018,NSW,1655,93,92,8080267,79,2277846,70,2320545,3,6649,53,3568198,47,927111,2,10707,6,67049,0,0,1,66967,92,8435201,0,0,23,13650,64,354934,11,130966,21,873274,15,340468,6,-160865,28,9649,63,55,41035
2017/2018,NSW,1660,73,69,4396511,56,1089906,52,1142696,1,1070,39,2509903,38,654807,0,0,2,6704,0,0,0,0,70,4597101,0,0,14,11426,48,193620,5,32947,23,759749,18,318960,5,-22544,29,9905,42,39,33284
2017/2018,NSW,1710,72,71,4644774,52,1208566,47,1271429,0,0,38,2806451,34,742308,1,2678,0,0,1,5065,2,74149,71,4791651,3,18167,18,18351,47,146446,11,118111,24,1267150,10,278412,15,-153290,23,6411,51,44,34431
2017/2018,NSW,1750,52,51,3575955,43,902883,40,938440,0,0,37,2869213,34,836851,2,19354,1,3877,2,130791,1,8823,52,3717448,1,2780,14,5090,44,134863,3,39288,16,374595,11,127583,5,-28755,25,7811,35,31,21247
2017/2018,NSW,1755,61,59,4275027,46,1123617,41,1160191,3,11488,40,2687017,37,749386,2,11087,3,26519,0,0,0,0,59,4421241,1,10670,17,13263,42,146214,6,54635,12,284392,2,6543,11,-77175,21,7210,41,37,25108
2017/2018,NSW,1765,84,82,5665162,63,1449566,55,1521446,1,2745,55,3840439,53,1002412,2,8632,1,1006,1,285,1,43022,82,6026590,1,2807,24,6748,59,361428,6,34380,21,751994,10,238398,11,-234670,30,9153,54,50,41862
2017/2018,NSW,1871,90,89,4898674,78,1029573,75,1059006,5,20303,67,4192934,67,975397,4,20510,4,42071,1,1132,2,57197,88,5153275,4,6851,20,6834,70,254050,4,30748,18,671261,6,68865,12,-150934,41,12660,27,24,17679
2017/2018,NSW,1885,52,52,2867568,39,684598,38,729689,1,2950,36,2000377,35,450388,1,5589,2,29642,0,0,0,0,52,2949736,1,616,8,10882,27,82162,3,23895,12,332767,6,95812,7,-53511,28,9517,25,22,14379
2017/2018,NSW,2000,23478,23131,1721731444,17740,501030213,16397,518235747,583,3162802,19149,1115921093,18425,310962341,274,1555621,131,1669490,55,1069446,116,5338522,23146,1795987542,840,2609362,3833,21407370,14586,70664158,1262,9097087,3000,129325038,1379,23978382,1653,-27197420,10470,3611229,7970,5986,3963743
2017/2018,NSW,2001,340,331,31798343,275,9555420,246,9729724,9,53453,191,19231884,178,6194447,4,30440,9,129337,3,14779,5,374246,332,33484563,4,4717,79,205227,226,1384792,28,206641,98,3599443,52,874812,46,-639771,106,36685,213,170,130627
2017/2018,NSW,2002,77,74,3540161,50,891857,44,931491,3,28420,47,2846828,44,875258,1,13123,1,15782,0,0,0,0,77,3824864,4,13521,6,19906,43,265807,1,1291,23,842646,14,267555,9,-101676,27,10502,31,25,17229
2017/2018,NSW,2006,74,72,4880017,54,1197405,48,1256126,4,36557,60,4239878,57,1251336,5,47876,1,16721,1,184,1,45534,72,5106021,5,16182,18,19891,45,226004,4,37482,17,530244,6,59314,11,-187519,21,6935,40,31,20896
2017/2018,NSW,2007,5032,4970,237357345,3669,49770637,3400,52314695,234,1139212,4301,211919455,4130,52022185,173,1133534,45,573576,6,25734,20,465451,4972,246309064,272,814032,892,813454,3098,8612590,305,2006789,643,20668274,289,3450938,357,-3843834,2254,750971,1778,1361,709996
2017/2018,NSW,2008,6305,6220,371823549,4882,86645716,4606,91350625,481,2421281,5483,317565642,5315,83968393,256,1631393,45,562509,14,141825,30,1057027,6218,453410515,356,1146885,1430,69737045,4109,81196702,453,2823146,769,24846336,357,4430876,414,-5252362,2687,857365,2660,2017,1006213
