taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,taxOnTaxableIncomeDollars,nIndividualsWithNetTax,netTaxDollars,nIndividualsWithHelpDebt,helpDebtDollars,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,taxWithheldFromSalaryOrWagesDollars,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,lowAndMiddleIncomeTaxOffsetDollars,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2018/2019,NSW,2013,80,80,6199113,69,1591600,62,1642486,8,28733,65,5263771,61,1480273,3,27464,3,43922,0,0,0,0,80,6523739,2,2543,29,8160,71,323963,14,76586,24,516331,8,41189,16,-166180,56,45965,45,36,21515
2018/2019,NSW,2014,78,78,7544330,71,2101679,67,2178835,2,15201,61,5409002,60,1599815,1,3458,1,8446,0,0,0,0,78,7765384,2,13712,31,17104,64,221054,15,149281,19,469053,5,59660,14,-119354,52,40310,48,37,21113
2018/2019,NSW,2015,8010,7940,693419456,7225,178400220,6938,184511747,1018,5174205,7113,607954024,7004,176807957,256,1409137,98,1257818,26,608711,43,1238765,7952,716802025,507,1663875,2703,2227452,6324,22815076,930,5610430,1365,36984981,518,4974901,858,-8892839,5467,4318276,5243,4292,2232103
2018/2019,NSW,2016,8998,8923,730472223,7877,187783857,7464,193890995,963,4980388,7763,614228152,7624,177430922,443,2966573,134,1892409,29,457844,41,1378016,8924,755597133,540,1665682,2687,1746393,6725,24687237,924,6006873,1436,42324687,692,8299994,750,-8696504,5774,4333532,5066,4018,2128082
2018/2019,NSW,2017,16658,16422,1164616068,14055,278754209,13247,286527712,1346,6662369,14421,1057706239,14151,290487004,544,3590400,246,3438431,39,482543,40,1148033,16438,1207373408,1199,3489481,4060,2424054,12087,41283166,1238,6517428,2406,73087904,811,7414066,1619,-18878323,10849,8281050,8633,6959,3385680
2018/2019,NSW,2018,11405,11277,716483778,9515,160897198,8791,164584613,761,3466676,9441,626081643,9198,164221540,490,3011542,265,3346627,30,464283,47,1354436,11277,741953252,582,1512906,3040,1637227,8461,25048934,862,5142653,2022,57592814,925,11108740,1108,-11692675,7786,5842357,6006,5026,2865478
2018/2019,NSW,2019,8093,8044,576722083,7143,133868867,6763,137606743,464,1872200,7076,526254368,6932,140474309,231,1280971,215,2551658,30,659188,40,1454133,8054,599375643,366,760105,2709,1150622,6644,22276464,822,5037306,1409,34282747,517,5620022,901,-8581492,5872,4605499,4918,4210,2502792
2018/2019,NSW,2020,13526,13364,777080452,11151,166672840,10380,169170081,709,3303983,11692,718600791,11459,180911485,321,1790072,219,2941598,36,484577,58,2078587,13372,804875347,743,1962461,3437,1484311,9841,27336931,924,4882207,2152,60232628,768,8108033,1394,-15751063,9145,6746135,6028,5061,2753896
2018/2019,NSW,2021,10967,10849,1508308537,9653,491988488,9148,507584336,1158,6174875,8514,941929631,8312,312070389,306,1744496,172,2187878,50,943589,123,6548081,10877,1567978050,526,1803180,3639,7635676,8442,53545958,1168,8828234,1986,78678608,1041,18708591,955,-15520286,6157,4651967,8099,6015,4111987
2018/2019,NSW,2022,9708,9589,943457191,8350,275171026,7772,282472117,501,2620901,7559,671348126,7339,206933123,238,1404207,240,3032859,19,185921,88,3065286,9603,979609841,426,1361229,2902,6013693,7125,35155177,850,6886374,1598,67009145,914,18749198,700,-9380547,5499,3945996,6087,4625,3199136
